Trait,Predictor,Beta,P,R2
score_Machiavellianism,age,-0.086,0.0,0.133
score_Machiavellianism,BFI_A_sum,-0.494,0.0,0.133
score_Machiavellianism,BFI_C_sum,-0.108,0.0,0.133
score_Machiavellianism,BFI_N_sum,0.068,0.0,0.133
score_Machiavellianism,BFI_O_sum,0.394,0.0,0.133
score_Machiavellianism,TEQ_sum,-0.155,0.0,0.133
score_Machiavellianism,RSES_sum,0.189,0.0,0.133
score_Psychopathy,age,-0.081,0.0,0.185
score_Psychopathy,BFI_A_sum,-0.397,0.0,0.185
score_Psychopathy,BFI_C_sum,-0.041,0.0942,0.185
score_Psychopathy,BFI_N_sum,0.018,0.2446,0.185
score_Psychopathy,BFI_O_sum,0.355,0.0,0.185
score_Psychopathy,TEQ_sum,-0.33,0.0,0.185
score_Psychopathy,RSES_sum,0.111,0.0,0.185
score_Narcissism,age,-0.177,0.0,0.096
score_Narcissism,BFI_A_sum,-0.366,0.0,0.096
score_Narcissism,BFI_C_sum,-0.112,0.0,0.096
score_Narcissism,BFI_N_sum,0.044,0.0065,0.096
score_Narcissism,BFI_O_sum,0.34,0.0,0.096
score_Narcissism,TEQ_sum,-0.004,0.745,0.096
score_Narcissism,RSES_sum,0.119,0.0,0.096
