Metric,Value
1 Community Alpha_Mach,0.828
1 Community Omega_Mach,0.886
1 Community Alpha_Psy,0.763
1 Community Omega_Psy,0.849
1 Community Alpha_Narc,0.846
1 Community Omega_Narc,0.898
1 Community Alpha_Total,0.869
1 Community Omega_Total,0.893
2 Student Alpha_Mach,0.802
2 Student Omega_Mach,0.873
2 Student Alpha_Psy,0.621
2 Student Omega_Psy,0.777
2 Student Alpha_Narc,0.833
2 Student Omega_Narc,0.89
2 Student Alpha_Total,0.816
2 Student Omega_Total,0.858
3 Representative Alpha_Mach,0.84
3 Representative Omega_Mach,0.893
3 Representative Alpha_Psy,0.71
3 Representative Omega_Psy,0.821
3 Representative Alpha_Narc,0.811
3 Representative Omega_Narc,0.877
3 Representative Alpha_Total,0.897
3 Representative Omega_Total,0.915
"Test-retest ICC(2,1)",0.854 [0.765–0.909]
Gender Cohen_d (Machiavellianism),"d=-0.272, p=0.0000"
Gender Cohen_d (Psychopathy),"d=-0.540, p=0.0000"
Gender Cohen_d (Narcissism),"d=-0.112, p=0.0000"
CFA 3-factor CFI,0.941
CFA 3-factor RMSEA,0.077
R lavaan MLR 3-factor CFI,0.941
R lavaan MLR 3-factor RMSEA,0.077
CKA mean off-diagonal,0.0147
Semantic ARI (perm test),"ARI=0.505, p=0.0070 (7/1000 perms ≥ obs)"
SDI,"Obs=0.2156, Null=0.0358, p=< 0.005 (0/200 null ≥ observed)"
XGBoost R² (Machiavellianism),0.198
XGBoost Top (Machiavellianism),BFI_A_sum
XGBoost R² (Psychopathy),0.325
XGBoost Top (Psychopathy),TEQ_sum
XGBoost R² (Narcissism),0.126
XGBoost Top (Narcissism),age
Mapper node silhouette,-0.0056
Subtypes (Machiavellianism),2 clusters (EXPLORATORY)
Subtypes (Psychopathy),2 clusters (EXPLORATORY)
Subtypes (Narcissism),2 clusters (EXPLORATORY)
Cross-sample driver consistency,"{'Machiavellianism': False, 'Psychopathy': False, 'Narcissism': False}"
