Trait,Feature,Subtype1_SHAP,Subtype2_SHAP
score_Machiavellianism,age,0.269,0.095
score_Machiavellianism,BFI_A_sum,0.684,-1.408
score_Machiavellianism,BFI_C_sum,0.478,0.356
score_Machiavellianism,BFI_N_sum,-0.008,0.004
score_Machiavellianism,TEQ_sum,0.291,-0.296
score_Machiavellianism,RSES_sum,0.006,0.223
score_Psychopathy,age,0.101,0.202
score_Psychopathy,BFI_A_sum,-0.202,0.605
score_Psychopathy,BFI_C_sum,0.155,0.245
score_Psychopathy,BFI_N_sum,-0.054,-0.012
score_Psychopathy,TEQ_sum,-0.868,2.597
score_Psychopathy,RSES_sum,-0.077,-0.018
score_Narcissism,age,-1.467,1.088
score_Narcissism,BFI_A_sum,-0.24,-0.111
score_Narcissism,BFI_C_sum,0.113,0.157
score_Narcissism,BFI_N_sum,-0.081,0.049
score_Narcissism,TEQ_sum,-0.03,-0.01
score_Narcissism,RSES_sum,0.125,0.027
