Dependent_Trait,Independent_Variable,Standardized_Beta,Robust_SE,t_value,p_value,Adj_R_Squared
Machiavellianism,BFI_A_sum,-0.3276,0.0163,-20.054,1.8634444666904308e-89,0.1879
Machiavellianism,BFI_C_sum,-0.13,0.015,-8.6491,5.1918099857917686e-18,0.1879
Machiavellianism,BFI_N_sum,0.0312,0.0172,1.8147,0.06956909937165204,0.1879
Machiavellianism,BFI_O_sum,0.1096,0.0167,6.5599,5.386041686582751e-11,0.1879
Machiavellianism,BFI_E_sum,0.1363,0.0172,7.9477,1.9007141259939972e-15,0.1879
Machiavellianism,TEQ_sum,-0.1387,0.0183,-7.5628,3.945695617640791e-14,0.1879
Machiavellianism,RSES_sum,0.0996,0.0163,6.1044,1.0320126884330664e-09,0.1879
Psychopathy,BFI_A_sum,-0.3062,0.0157,-19.5511,4.0342361006676543e-85,0.2784
Psychopathy,BFI_C_sum,-0.1089,0.0133,-8.1834,2.7584782081466206e-16,0.2784
Psychopathy,BFI_N_sum,-0.1383,0.0154,-8.9665,3.059900623633625e-19,0.2784
Psychopathy,BFI_O_sum,0.089,0.0165,5.3794,7.474373898123452e-08,0.2784
Psychopathy,BFI_E_sum,0.0582,0.0182,3.1926,0.0014098523076977348,0.2784
Psychopathy,TEQ_sum,-0.2814,0.0185,-15.2267,2.352754754321331e-52,0.2784
Psychopathy,RSES_sum,-0.0653,0.0152,-4.2873,1.8082224672624086e-05,0.2784
Narcissism,BFI_A_sum,-0.1979,0.0171,-11.5894,4.6635514145959e-31,0.1056
Narcissism,BFI_C_sum,-0.0923,0.0159,-5.8208,5.856511716703808e-09,0.1056
Narcissism,BFI_N_sum,0.1204,0.0181,6.6698,2.560986870033189e-11,0.1056
Narcissism,BFI_O_sum,0.1441,0.0168,8.5639,1.0915473714157765e-17,0.1056
Narcissism,BFI_E_sum,0.1527,0.0168,9.0842,1.0450554306044413e-19,0.1056
Narcissism,TEQ_sum,-0.048,0.0187,-2.5605,0.010452029807054132,0.1056
Narcissism,RSES_sum,0.0956,0.0178,5.3782,7.523413687601774e-08,0.1056
