Node,Community
BFI_N_1,0
BFI_N_2,0
BFI_N_3,0
BFI_N_4,0
BFI_N_5,0
BFI_N_6,0
BFI_N_7,0
BFI_N_8,0
BFI_O_1,2
BFI_O_7,2
BFI_O_4,2
BFI_O_8,2
BFI_O_3,2
BFI_O_9,2
BFI_O_2,2
BFI_O_5,2
BFI_O_6,2
BFI_O_10,2
BFI_C_1,4
BFI_C_3,4
BFI_C_4,4
BFI_C_9,4
BFI_C_6,4
BFI_C_7,4
BFI_C_8,4
BFI_C_5,4
BFI_C_2,4
BFI_E_5,6
BFI_E_6,6
BFI_E_8,6
BFI_E_1,6
BFI_E_3,6
BFI_E_2,6
BFI_E_4,6
BFI_E_7,6
BFI_A_4,8
BFI_A_1,10
BFI_A_5,8
BFI_A_3,10
BFI_A_6,10
BFI_A_7,8
BFI_A_8,10
BFI_A_9,6
BFI_A_2,8
DTDD_1m,12
DTDD_2m,12
DTDD_3m,12
DTDD_4m,12
DTDD_1p,12
DTDD_2p,12
DTDD_3p,12
DTDD_4p,12
DTDD_1n,12
DTDD_2n,12
DTDD_3n,12
DTDD_4n,12
DTDD_1g,12
DTDD_1i,12
DTDD_1ma,12
RSES_1,16
RSES_2,16
RSES_3,16
RSES_4,16
RSES_5,16
RSES_6,16
RSES_7,16
RSES_8,16
RSES_9,16
RSES_10,16
TEQ_1,8
TEQ_3,8
TEQ_5,8
TEQ_16,8
TEQ_CON_2,8
TEQ_CON_4,8
TEQ_CON_14,8
TEQ_2,18
TEQ_4,19
TEQ_6,1
TEQ_7,3
TEQ_8,5
TEQ_9,7
TEQ_10,9
TEQ_11,11
TEQ_12,13
TEQ_13,14
TEQ_14,15
TEQ_15,17
