Trait,Feature_1,Feature_2,Absolute_Interaction_Strength
Machiavellianism,BFI_A_sum,BFI_C_sum,0.0982
Machiavellianism,BFI_A_sum,TEQ_sum,0.0971
Machiavellianism,BFI_A_sum,BFI_E_sum,0.0799
Machiavellianism,BFI_O_sum,TEQ_sum,0.0709
Machiavellianism,BFI_A_sum,age,0.0707
Machiavellianism,TEQ_sum,age,0.0479
Machiavellianism,BFI_C_sum,TEQ_sum,0.0455
Machiavellianism,BFI_E_sum,TEQ_sum,0.0415
Machiavellianism,BFI_A_sum,BFI_O_sum,0.0359
Machiavellianism,BFI_O_sum,age,0.0355
Machiavellianism,BFI_C_sum,BFI_E_sum,0.0337
Machiavellianism,BFI_E_sum,age,0.0308
Machiavellianism,BFI_N_sum,TEQ_sum,0.0287
Machiavellianism,BFI_C_sum,age,0.0247
Machiavellianism,BFI_E_sum,BFI_O_sum,0.0201
Machiavellianism,BFI_C_sum,BFI_N_sum,0.0187
Machiavellianism,BFI_N_sum,BFI_O_sum,0.0181
Machiavellianism,BFI_C_sum,BFI_O_sum,0.0158
Machiavellianism,BFI_A_sum,BFI_N_sum,0.0155
Machiavellianism,BFI_E_sum,BFI_N_sum,0.0125
Machiavellianism,BFI_N_sum,age,0.0049
Narcissism,BFI_A_sum,age,0.089
Narcissism,BFI_A_sum,BFI_E_sum,0.0764
Narcissism,BFI_E_sum,age,0.0594
Narcissism,BFI_O_sum,age,0.0587
Narcissism,BFI_A_sum,BFI_O_sum,0.0565
Narcissism,BFI_E_sum,TEQ_sum,0.0556
Narcissism,BFI_N_sum,BFI_O_sum,0.039
Narcissism,BFI_C_sum,BFI_E_sum,0.0379
Narcissism,BFI_A_sum,BFI_C_sum,0.0363
Narcissism,BFI_A_sum,TEQ_sum,0.0357
Narcissism,BFI_N_sum,TEQ_sum,0.0329
Narcissism,BFI_E_sum,BFI_N_sum,0.0323
Narcissism,BFI_N_sum,age,0.0313
Narcissism,BFI_E_sum,BFI_O_sum,0.0301
Narcissism,BFI_A_sum,BFI_N_sum,0.0289
Narcissism,TEQ_sum,age,0.0267
Narcissism,BFI_C_sum,TEQ_sum,0.0261
Narcissism,BFI_C_sum,age,0.0231
Narcissism,BFI_O_sum,TEQ_sum,0.0213
Narcissism,BFI_C_sum,BFI_O_sum,0.0189
Narcissism,BFI_C_sum,BFI_N_sum,0.0109
Psychopathy,BFI_A_sum,TEQ_sum,0.1862
Psychopathy,TEQ_sum,age,0.0857
Psychopathy,BFI_C_sum,TEQ_sum,0.0761
Psychopathy,BFI_O_sum,TEQ_sum,0.0639
Psychopathy,BFI_A_sum,BFI_N_sum,0.0565
Psychopathy,BFI_A_sum,BFI_O_sum,0.0475
Psychopathy,BFI_N_sum,TEQ_sum,0.0377
Psychopathy,BFI_A_sum,BFI_C_sum,0.0359
Psychopathy,BFI_C_sum,BFI_N_sum,0.0347
Psychopathy,BFI_A_sum,age,0.0294
Psychopathy,BFI_N_sum,age,0.0294
Psychopathy,BFI_C_sum,BFI_O_sum,0.024
Psychopathy,BFI_C_sum,age,0.0199
Psychopathy,BFI_O_sum,age,0.0195
Psychopathy,BFI_E_sum,TEQ_sum,0.0189
Psychopathy,BFI_N_sum,BFI_O_sum,0.0156
Psychopathy,BFI_C_sum,BFI_E_sum,0.0151
Psychopathy,BFI_E_sum,BFI_N_sum,0.014
Psychopathy,BFI_A_sum,BFI_E_sum,0.0113
Psychopathy,BFI_E_sum,BFI_O_sum,0.0106
Psychopathy,BFI_E_sum,age,0.0063
