Source,Target,Partial_Correlation,p_value
BFI_A_sum,BFI_C_sum,0.1047,3.3306690738754696e-14
BFI_A_sum,BFI_E_sum,0.0862,4.584257418116522e-10
BFI_A_sum,BFI_N_sum,-0.1729,0.0
BFI_A_sum,TEQ_sum,0.4615,0.0
BFI_C_sum,BFI_N_sum,-0.3016,0.0
BFI_C_sum,BFI_O_sum,0.1125,4.440892098500626e-16
BFI_C_sum,TEQ_sum,0.1148,0.0
BFI_C_sum,age,0.1978,0.0
BFI_E_sum,BFI_O_sum,0.3597,0.0
BFI_E_sum,TEQ_sum,0.1377,0.0
BFI_E_sum,age,-0.0617,8.219043266866066e-06
BFI_N_sum,TEQ_sum,0.2644,0.0
BFI_N_sum,age,-0.1552,0.0
BFI_O_sum,TEQ_sum,0.2274,0.0
BFI_O_sum,age,-0.12,0.0
TEQ_sum,age,0.0571,3.696827204491271e-05
